team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_region,team_seed
Kentucky,0,0.999000987,0.940680256,0.855976648,0.732434616,0.535532304,0.413463226,1,1,1,1,0,0,1,1,1,1,1,1,Midwest,1
Hampton,1,0.000999013,0.000100512,1.20E-05,1.10E-06,5.30E-08,4.24E-09,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,16
Cincinnati,2,0.53688702,0.034181745,0.017288711,0.007185959,0.002070152,0.000737469,1,0,0,0,0,0,1,0,0,0,0,0,Midwest,8
Purdue,3,0.46311298,0.025037487,0.012099071,0.00477981,0.001385703,0.000496931,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,9
West Virginia,4,0.682463058,0.391825247,0.052809929,0.025237141,0.007449738,0.00269668,1,1,0,0,0,0,1,1,0,0,0,0,Midwest,5
Buffalo,5,0.317536942,0.130247881,0.010026974,0.003489188,0.000660142,0.000164841,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,12
Maryland,6,0.717329757,0.382712018,0.046530787,0.02102112,0.005806928,0.001987671,1,0,0,0,0,0,1,0,0,0,0,0,Midwest,4
Valparaiso,7,0.282670243,0.095214854,0.005255884,0.001487428,0.000280619,7.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,13
Butler,8,0.455061867,0.178993399,0.078636375,0.012614824,0.004699837,0.00207699,1,0,0,0,0,0,0,0,0,0,0,0,Midwest,6
Texas,9,0.544938133,0.234595102,0.107203937,0.018172384,0.005677207,0.002159577,0,0,0,0,0,0,1,0,0,0,0,0,Midwest,11
Notre Dame,10,0.899272914,0.565706816,0.322751551,0.076401511,0.031242744,0.014846967,1,1,1,0,0,0,1,1,1,0,0,0,Midwest,3
Northeastern,11,0.100727086,0.020704683,0.003586315,0.000182607,1.74E-05,2.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,14
Wichita State,12,0.715652527,0.360058896,0.174446757,0.033399026,0.011594402,0.004811072,1,1,0,0,0,0,1,0,0,0,0,0,Midwest,7
Indiana,13,0.284347473,0.090279897,0.03437827,0.004723327,0.001412517,0.00052003,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,10
Kansas,14,0.889897492,0.527615529,0.275046144,0.058652409,0.022486143,0.010124812,1,0,0,0,0,0,1,1,0,0,0,0,Midwest,2
New Mexico State,15,0.110102508,0.022045678,0.00395065,0.000217551,2.57E-05,4.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,15
Wisconsin,16,0.984445021,0.852739564,0.629545024,0.324853852,0.146671746,0.095832081,1,1,1,1,1,0,1,1,1,0,0,0,West,1
Coastal Carolina,17,0.015554979,0.00305844,0.000400532,2.55E-05,1.38E-06,1.70E-07,0,0,0,0,0,0,0,0,0,0,0,0,West,16
Oregon,18,0.406109461,0.047751494,0.020138603,0.004845263,0.000579376,0.000138399,1,0,0,0,0,0,0,0,0,0,0,0,West,8
Oklahoma State,19,0.593890539,0.096450501,0.038600809,0.00868408,0.001356214,0.00040275,0,0,0,0,0,0,1,0,0,0,0,0,West,9
Arkansas,20,0.760941357,0.282446532,0.075030596,0.020145278,0.004048599,0.001467065,1,0,0,0,0,0,1,0,0,0,0,0,West,5
Wofford,21,0.239058643,0.042526294,0.003683026,0.000361925,3.08E-05,5.58E-06,0,0,0,0,0,0,0,0,0,0,0,0,West,12
North Carolina,22,0.860863805,0.624220937,0.226494761,0.08075293,0.02437073,0.012009738,1,1,0,0,0,0,1,1,0,0,0,0,West,4
Harvard,23,0.139136195,0.050806236,0.00610665,0.000805677,8.59E-05,1.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,West,13
Xavier,24,0.567156902,0.266361286,0.047093679,0.012874147,0.002905562,0.001155015,1,1,0,0,0,0,1,0,0,0,0,0,West,6
Ole Miss,25,0.432843098,0.178782475,0.026057388,0.006094023,0.00096553,0.000291045,0,0,0,0,0,0,0,0,0,0,0,0,West,11
Baylor,26,0.758454213,0.465939445,0.123998557,0.047116958,0.010570444,0.00416563,0,0,0,0,0,0,1,1,0,0,0,0,West,3
Georgia State,27,0.241545787,0.088916794,0.007885667,0.001215374,0.000135357,3.06E-05,1,0,0,0,0,0,0,0,0,0,0,0,West,14
Virginia Commonwealth,28,0.363931963,0.04666678,0.021454722,0.005521732,0.001020683,0.000347995,0,0,0,0,0,0,0,0,0,0,0,0,West,7
Ohio State,29,0.636068037,0.129281076,0.074315786,0.026046033,0.007244292,0.003372937,1,0,0,0,0,0,1,0,0,0,0,0,West,10
Arizona,30,0.993295046,0.823399326,0.699107814,0.460652301,0.169671525,0.09618842,1,1,1,0,0,0,1,1,1,1,0,0,West,2
Texas Southern,31,0.006704954,0.000652818,8.64E-05,4.92E-06,1.57E-07,1.22E-08,0,0,0,0,0,0,0,0,0,0,0,0,West,15
Villanova,32,0.98493765,0.839207965,0.699631899,0.463327753,0.287552379,0.10953718,1,0,0,0,0,0,1,1,1,1,1,0,East,1
Lafayette,33,0.01506235,0.002653097,0.000553834,5.57E-05,5.09E-06,2.01E-07,0,0,0,0,0,0,0,0,0,0,0,0,East,16
North Carolina State,34,0.589299423,0.104244815,0.055535159,0.01856499,0.006460323,0.001148178,1,1,0,0,0,0,1,0,0,0,0,0,East,8
LSU,35,0.410700577,0.053894123,0.024845793,0.006823735,0.002152853,0.00034069,0,0,0,0,0,0,0,0,0,0,0,0,East,9
Northern Iowa,36,0.752684556,0.424877553,0.100795868,0.03517635,0.013925546,0.002900137,1,0,0,0,0,0,1,1,0,0,0,0,East,5
Wyoming,37,0.247315444,0.082486791,0.006708799,0.000950463,0.000162292,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,East,12
Louisville,38,0.744975249,0.409111524,0.105801715,0.039608972,0.017770078,0.00435079,1,1,1,0,0,0,1,0,0,0,0,0,East,4
UC Irvine,39,0.255024751,0.083524132,0.006126933,0.000792598,0.000123568,8.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,East,13
Providence,40,0.513612635,0.208248346,0.068033917,0.021880263,0.007482093,0.001301106,0,0,0,0,0,0,1,0,0,0,0,0,East,6
Dayton,41,0.486387365,0.191097193,0.043537892,0.010093992,0.003419082,0.000587054,1,0,0,0,0,0,0,0,0,0,0,0,East,11
Oklahoma,42,0.901897813,0.579873083,0.222516268,0.08258511,0.039408345,0.010437226,1,1,0,0,0,0,1,1,0,0,0,0,East,3
Albany,43,0.098102187,0.020781379,0.002583305,0.000354788,4.91E-05,3.03E-06,0,0,0,0,0,0,0,0,0,0,0,0,East,14
Michigan State,44,0.622451894,0.181358985,0.104379997,0.040019512,0.01976612,0.005505402,1,1,1,1,0,0,1,0,0,0,0,0,East,7
Georgia,45,0.377548106,0.078439477,0.032233457,0.008179692,0.002809312,0.000493173,0,0,0,0,0,0,0,0,0,0,0,0,East,10
Virginia,46,0.963731659,0.733605892,0.525488797,0.271454937,0.170890767,0.066622626,1,0,0,0,0,0,1,1,1,0,0,0,East,2
Belmont,47,0.036268341,0.006595647,0.001226367,0.00013112,2.25E-05,1.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,East,15
Duke,48,0.981596637,0.843408299,0.55642246,0.326852478,0.166420859,0.058482077,1,1,1,1,1,1,1,1,1,1,0,0,South,1
Robert Morris,49,0.018403363,0.003779181,0.000464955,4.57E-05,4.64E-06,2.87E-07,0,0,0,0,0,0,0,0,0,0,0,0,South,16
San Diego State,50,0.582384112,0.098954725,0.04351295,0.016332381,0.00431905,0.00072014,1,0,0,0,0,0,1,0,0,0,0,0,South,8
St. John's,51,0.417615888,0.053857795,0.015807579,0.003847456,0.000882403,0.000126655,0,0,0,0,0,0,0,0,0,0,0,0,South,9
Utah,52,0.822513228,0.623432018,0.272896201,0.1345865,0.050304183,0.012272628,1,1,0,0,0,0,1,1,0,0,0,0,South,5
Stephen F. Austin,53,0.177486772,0.081487057,0.025038391,0.009100591,0.001956619,0.000261036,0,0,0,0,0,0,0,0,0,0,0,0,South,12
Georgetown,54,0.773918101,0.261964711,0.083234034,0.031030044,0.00992446,0.002039541,1,0,0,0,0,0,1,0,0,0,0,0,South,4
Eastern Washington,55,0.226081899,0.033116214,0.002623431,0.000279489,2.17E-05,1.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,South,13
Southern Methodist,56,0.642861058,0.24056284,0.101689449,0.042571625,0.012315002,0.002259629,0,0,0,0,0,0,1,0,0,0,0,0,South,6
UCLA,57,0.357138942,0.094647117,0.027523414,0.008136212,0.001778248,0.00024162,1,1,0,0,0,0,0,0,0,0,0,0,South,11
Iowa State,58,0.907896808,0.640838638,0.316751606,0.153423495,0.065764129,0.018827101,0,0,0,0,0,0,1,1,0,0,0,0,South,3
UAB,59,0.092103192,0.023951405,0.003198631,0.000463332,5.47E-05,3.91E-06,1,0,0,0,0,0,0,0,0,0,0,0,South,14
Iowa,60,0.623859883,0.13846929,0.061129029,0.023565058,0.008288411,0.001901166,1,0,0,0,0,0,1,0,0,0,0,0,South,7
Davidson,61,0.376140117,0.056703921,0.020539389,0.006463176,0.001827418,0.000329571,0,0,0,0,0,0,0,0,0,0,0,0,South,10
Gonzaga,62,0.974276799,0.799684775,0.468532036,0.243233883,0.104132313,0.029694083,1,1,1,0,0,0,1,1,1,0,0,0,South,2
North Dakota State,63,0.025723201,0.005142013,0.000636445,6.85E-05,6.49E-06,3.72E-07,0,0,0,0,0,0,0,0,0,0,0,0,South,15
