team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Duke,0,0.991789442,0.908115588,0.717264438,0.524229344,0.321658475,0.193334432,1,1,1,0,0,0,1,1,1,1,1,1,96.3,East,1
North Dakota State,1,0.008210558,0.001025869,8.14E-05,6.02E-06,5.37E-07,5.42E-08,0,0,0,0,0,0,0,0,0,0,0,0,70.79,East,16
Virginia Commonwealth,2,0.504988959,0.046189203,0.017935617,0.006254439,0.001535455,0.000400841,0,0,0,0,0,0,1,0,0,0,0,0,81.7,East,8
Central Florida,3,0.495011041,0.04466934,0.01463705,0.004326066,0.001053004,0.000272753,1,0,0,0,0,0,0,0,0,0,0,0,81.72,East,9
Mississippi State,4,0.786447979,0.308244649,0.055504569,0.021225928,0.007158257,0.002493726,0,0,0,0,0,0,1,0,0,0,0,0,85.11,East,5
Liberty,5,0.213552021,0.041506648,0.004376007,0.001088284,0.000197461,3.90E-05,1,0,0,0,0,0,0,0,0,0,0,0,78.02,East,12
Virginia Tech,6,0.888465655,0.617061364,0.187703899,0.102976697,0.044953667,0.019771609,1,1,0,0,0,0,1,1,0,0,0,0,89.26,East,4
Saint Louis,7,0.111534345,0.033187339,0.002497006,0.000462462,8.29E-05,1.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,77.01,East,13
Maryland,8,0.620621966,0.312838109,0.125344416,0.037636526,0.011819823,0.003860648,1,0,0,0,0,0,1,0,0,0,0,0,84.82,East,6
Belmont,9,0.379378034,0.156506176,0.037338535,0.006634669,0.001781968,0.000504969,0,0,0,0,0,0,0,0,0,0,0,0,81.74,East,11
Louisiana State,10,0.844167126,0.490698182,0.156626336,0.037265107,0.013234956,0.004831416,1,1,0,0,0,0,1,1,0,0,0,0,86.37,East,3
Yale,11,0.155832874,0.039957533,0.006337374,0.00075052,0.000119518,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,77.11,East,14
Louisville,12,0.677598713,0.194237036,0.108708949,0.028928764,0.010905327,0.00420111,0,0,0,0,0,0,1,0,0,0,0,0,85.9,East,7
Minnesota,13,0.322401287,0.060590913,0.021971166,0.00337425,0.00106164,0.000347336,1,0,0,0,0,0,0,0,0,0,0,0,80.84,East,10
Michigan State,14,0.964466023,0.739581919,0.542835477,0.224791201,0.123678242,0.067166883,1,1,1,1,0,0,1,1,1,0,0,0,92.28,East,2
Bradley,15,0.035533977,0.005590132,0.000837748,4.97E-05,5.56E-06,6.96E-07,0,0,0,0,0,0,0,0,0,0,0,0,72.91,East,15
Gonzaga,16,0.98918991,0.882550424,0.714553937,0.49504743,0.261609939,0.147749856,1,1,1,0,0,0,1,1,1,1,0,0,95.02,West,1
Fairleigh Dickinson,17,0.01081009,0.001327161,0.000136633,9.55E-06,5.97E-07,4.83E-08,0,0,0,0,0,0,0,0,0,0,0,0,70.86,West,16
